x,y
-119.4966066,49.88543895
-119.4966067,49.88539399
-119.4966066,49.88534904
-119.4966063,49.88530409
-119.4966061,49.88525913
-119.4966058,49.88521418
-119.4966055,49.88516923
-119.4966052,49.88512427
-119.4966049,49.88507932
-119.4966046,49.88503437
-119.4966044,49.88498942
-119.4966041,49.88494446
-119.4966038,49.88489951
-119.4966035,49.88485456
-119.4966032,49.8848096
-119.4966029,49.88476465
-119.4966027,49.8847197
-119.4966024,49.88467474
-119.4966021,49.88462979
-119.4966018,49.88458484
-119.4966015,49.88453988
-119.4965986,49.88449666
-119.496529,49.88449658
-119.4964594,49.8844965
-119.4963899,49.88449642
-119.4963203,49.88449634
-119.4962507,49.88449626
-119.4961811,49.88449618
-119.4961116,49.8844961
-119.496042,49.88449602
-119.4959724,49.88449594
-119.4959028,49.88449586
-119.4958333,49.88449578
-119.4957637,49.8844957
-119.4956941,49.88449562
-119.4956246,49.88449554
-119.495555,49.88449546
-119.4954854,49.88449538
-119.4954158,49.8844953
-119.4953463,49.88449522
-119.4952767,49.88449514
-119.4952071,49.88449506
-119.4951375,49.88449498
-119.495068,49.8844949
-119.4949984,49.88449471
-119.4949288,49.88449444
-119.4948593,49.88449418
-119.4947897,49.88449391
-119.4947201,49.88449365
-119.4946505,49.88449338
-119.494581,49.88449311
-119.4945114,49.88449285
-119.4944418,49.88449258
-119.4943723,49.88449232
-119.4943027,49.88449205
-119.4942331,49.88449179
-119.4941635,49.88449152
-119.494094,49.88449126
-119.4940244,49.88449099
-119.4939548,49.88449072
-119.4938853,49.88449046
-119.4938157,49.88449019
-119.4937461,49.88448993
-119.4936765,49.88448966
-119.493607,49.8844894
-119.4935374,49.88448913
-119.4935006,49.88446777
-119.4935005,49.88442282
-119.4935004,49.88437786
-119.4935003,49.88433291
-119.4935002,49.88428796
-119.4935001,49.884243
-119.4934999,49.88419805
-119.4934998,49.8841531
-119.4934997,49.88410814
-119.4934996,49.88406319
-119.4934995,49.88401824
-119.4934994,49.88397328
-119.4934993,49.88392833
-119.4934992,49.88388338
-119.4934991,49.88383842
-119.4934989,49.88379347
-119.4934988,49.88374851
-119.4934987,49.88370356
-119.4934956,49.88365867
-119.4934912,49.88361381
-119.4934867,49.88356895
-119.4934264,49.88356251
-119.4933569,49.88356247
-119.4932873,49.88356243
-119.4932177,49.88356239
-119.4931482,49.88356235
-119.4930786,49.88356231
-119.493009,49.88356227
-119.4929394,49.88356223
-119.4928699,49.88356219
-119.4928003,49.88356215
-119.4927307,49.88356211
-119.4926611,49.88356207
-119.4925916,49.88356203
-119.492522,49.88356199
-119.4924524,49.88356195
-119.4923829,49.88356191
-119.4923133,49.88356187
-119.4922437,49.88356182
-119.4921741,49.88356178
-119.4921046,49.88356174
-119.492035,49.8835617
-119.4919654,49.88356166
-119.4918959,49.88356162
-119.4918263,49.88356158
-119.4917567,49.88356154
-119.4916871,49.8835615
-119.4916176,49.88356146
-119.491548,49.88356141
-119.4914784,49.88356137
-119.4914089,49.88356133
-119.4913393,49.88356129
-119.4912697,49.88356125
-119.4912001,49.88356121
-119.4911306,49.88356117
-119.491061,49.88356113
-119.4909914,49.88356108
-119.4909219,49.88356104
-119.4908523,49.883561
-119.4907827,49.88356096
-119.4907131,49.88356092
-119.4906436,49.88356087
-119.490574,49.88356083
-119.4905044,49.88356079
-119.4904349,49.88356075
-119.4903653,49.88356071
-119.4902957,49.88356067
-119.4902261,49.88356062
-119.4901566,49.88356058
-119.490087,49.88356054
-119.4900174,49.88356049
-119.4899479,49.88356045
-119.4898783,49.88356041
-119.4898087,49.88356037
-119.4897391,49.88356033
-119.4896696,49.88356028
-119.4896,49.88356024
-119.4895304,49.8835602
-119.4894609,49.88356016
-119.4893913,49.88356011
-119.4893217,49.88356007
-119.4892521,49.88356003
-119.4891826,49.88355998
-119.489113,49.88355994
-119.4890434,49.8835599
-119.4889738,49.88355986
-119.4889043,49.88355981
-119.4888347,49.88355977
-119.4887651,49.88355973
-119.4886956,49.88355969
-119.488626,49.88355964
-119.4885564,49.88355978
-119.4884869,49.88356012
-119.4884173,49.88355992
-119.4883477,49.88355962
-119.4882781,49.88355931
-119.4882086,49.88355901
-119.488139,49.88355871
-119.4880694,49.88355841
-119.4879999,49.8835581
-119.4879303,49.8835578
-119.4878607,49.8835575
-119.4877911,49.8835572
-119.4877216,49.88355689
-119.487652,49.88355659
-119.4875824,49.88355629
-119.4875129,49.88355598
-119.4874433,49.88355568
-119.4873737,49.88355538
-119.4873042,49.88355508
-119.4872346,49.88355477
-119.487165,49.88355447
-119.4870954,49.88355417
-119.4870259,49.88355386
-119.4869563,49.88355356
-119.4868867,49.88355326
-119.4868172,49.88355296
-119.4867476,49.88355265
-119.486678,49.88355235
-119.4866085,49.88355205
-119.4865389,49.88355174
-119.4864693,49.88355144
-119.4863997,49.88355114
-119.4863302,49.88355083
-119.4862606,49.88355053
-119.486191,49.88355023
-119.4861215,49.88354992
-119.4860519,49.88354962
-119.4859823,49.88354931
-119.4859128,49.88354901
-119.4858432,49.88354871
-119.4857736,49.8835484
-119.485704,49.8835481
-119.4856345,49.8835478
-119.4855649,49.88354749
-119.4854953,49.88354719
-119.4854258,49.88354688
-119.4853562,49.88354658
-119.4852866,49.88354628
-119.4852171,49.88354597
-119.4851475,49.88354567
-119.4850779,49.88354536
-119.4850083,49.88354506
-119.4849388,49.88354475
-119.4848692,49.88354445
-119.4847996,49.88354415
-119.4847301,49.88354384
-119.4846605,49.88354354
-119.4845909,49.88354323
-119.4845213,49.88354293
-119.4844518,49.88354262
