lat,long
-119.4236965,49.88514325
-119.4234077,49.88533799
-119.4231184,49.88553244
-119.4228291,49.8857269
-119.4225398,49.88592135
-119.4222509,49.88611609
-119.4219623,49.88631098
-119.4216737,49.88650587
-119.4213449,49.88666986
-119.4209742,49.88679224
-119.4205773,49.88687344
-119.4201642,49.88689558
-119.4197467,49.88689672
-119.4193292,49.88689786
-119.4189118,49.886899
-119.4184943,49.88690013
-119.4180768,49.88690126
-119.4176594,49.88690239
-119.4175888,49.88712321
-119.4175954,49.88739291
-119.4176021,49.8876626
-119.417602,49.8879323
-119.4175961,49.888202
-119.4175902,49.8884717
-119.417521,49.88873528
-119.4172559,49.88891499
-119.4168416,49.88894829
-119.416426,49.88896998
-119.4160086,49.88897361
-119.4155937,49.88898975
-119.4151841,49.8890302
-119.4147666,49.88903054
-119.4143491,49.88903043
-119.4139316,49.8890303
-119.4135141,49.88903027
-119.4130967,49.88903107
-119.4126792,49.88903186
-119.4122617,49.88903245
-119.4118442,49.88903298
-119.4114267,49.88903352
-119.4110092,49.88903405
-119.4105917,49.88903458
-119.4101742,49.88903519
-119.4097568,49.8890361
-119.4093393,49.8890369
-119.4089218,49.88903719
-119.4085043,49.88903747
-119.4080868,49.88903775
-119.4076693,49.88903796
-119.4072518,49.88903758
-119.4068343,49.88903719
-119.4064169,49.8890368
-119.4059994,49.88903641
-119.4055819,49.88903384
-119.4051644,49.88903045
-119.404747,49.88902706
-119.4043295,49.88902367
-119.4039121,49.88902028
-119.4034946,49.88901688
-119.4030772,49.88901349
-119.4026597,49.88901082
-119.4022422,49.88901055
-119.4018247,49.8890104
-119.4014072,49.88901024
-119.4009898,49.88901224
-119.4005723,49.88901515
-119.4001548,49.88901807
-119.3997374,49.88902099
-119.3993199,49.88902014
-119.3989025,49.88901699
-119.398485,49.88901384
-119.3980675,49.88901068
-119.3976501,49.88900753
-119.3972326,49.88900437
-119.3968151,49.88900121
-119.3963977,49.88899805
-119.3959802,49.88899489
-119.3955628,49.88899159
-119.3951453,49.88898782
-119.3947279,49.88898405
-119.3943104,49.88898027
-119.393893,49.8889765
-119.3934755,49.88897273
-119.3930581,49.88896895
-119.3926406,49.8889675
-119.3922231,49.88896853
-119.3918056,49.88896956
-119.3913881,49.88897059
-119.3909707,49.88897157
-119.3905532,49.8889725
-119.3901357,49.88897344
-119.3897182,49.88897405
-119.3893007,49.88897124
-119.3888833,49.88896843
-119.3884658,49.8889668
-119.3880483,49.88896779
-119.3876308,49.88896878
-119.3872133,49.88896976
-119.3868582,49.88901076
-119.3868595,49.88928049
-119.3868607,49.88955022
-119.386862,49.88981995
-119.3868632,49.89008968
-119.3868645,49.8903594
-119.3868657,49.89062913
-119.386867,49.89089886
-119.3868682,49.89116859
-119.3868695,49.89143832
-119.3868708,49.89170804
-119.386872,49.89197777
-119.3868732,49.8922475
-119.3868744,49.89251723
-119.3868749,49.89278696
-119.3868749,49.89305669
-119.3868749,49.89332642
-119.3868754,49.89359614
-119.386876,49.89386587
-119.3868763,49.8941356
-119.3868761,49.89440533
-119.3868759,49.89467506
-119.3868756,49.89494479
-119.3868744,49.89521452
-119.3868723,49.89548424
-119.3868703,49.89575397
-119.3868673,49.89602369
-119.3868643,49.89629341
-119.3868613,49.89656314
-119.3868583,49.89683286
-119.3868553,49.89710258
-119.3868523,49.8973723
-119.3868494,49.89764202
-119.3868464,49.89791175
-119.3868434,49.89818147
-119.3868404,49.89845119
-119.3868374,49.89872091
-119.3868344,49.89899064
-119.3868314,49.89926036
-119.3868285,49.89953008
-119.3868255,49.8997998
-119.3868237,49.90006953
-119.3868237,49.90033925
-119.3868237,49.90060898
-119.3868236,49.90087871
-119.3868236,49.90114844
-119.3868237,49.90141817
-119.3868238,49.9016879
-119.3868239,49.90195763
-119.386824,49.90222736
-119.3868246,49.90249709
-119.3868253,49.90276681
-119.3868259,49.90303654
-119.3868266,49.90330627
-119.3868272,49.903576
-119.3868252,49.90384572
-119.3868227,49.90411545
-119.3868202,49.90438517
-119.3868177,49.9046549
-119.3868152,49.90492462
-119.3868127,49.90519434
-119.3868102,49.90546407
-119.3868078,49.90573379
-119.3868053,49.90600352
-119.3868029,49.90627324
-119.3868004,49.90654296
-119.386798,49.90681269
-119.3867952,49.90708241
-119.386792,49.90735213
-119.3867884,49.90762185
-119.3867845,49.90789157
-119.3867804,49.90816128
-119.3867762,49.908431
-119.3867721,49.90870071
-119.386768,49.90897043
-119.3867642,49.90924014
-119.3867616,49.90950987
-119.386759,49.90977959
-119.3867564,49.91004931
-119.3867547,49.91031904
-119.3867531,49.91058877
-119.3867515,49.91085849
-119.3867499,49.91112822
-119.3867483,49.91139795
-119.3867466,49.91166767
-119.386745,49.9119374
-119.3867434,49.91220713
-119.3867418,49.91247685
-119.3867401,49.91274658
-119.3867385,49.9130163
-119.3867369,49.91328603
-119.3867353,49.91355576
-119.3867342,49.91382548
-119.3867334,49.91409521
-119.3867326,49.91436494
-119.3867318,49.91463467
-119.386731,49.9149044
-119.3867302,49.91517412
-119.3867294,49.91544385
-119.3868014,49.91566898
-119.3872185,49.9156827
-119.3876357,49.91569642
-119.3880463,49.91573789
-119.388434,49.91583687
-119.3887663,49.91599475
-119.3890392,49.91619665
-119.389219,49.91643208
-119.3890855,49.91668005
-119.3887939,49.91687321
-119.388533,49.91708327
-119.3882835,49.91729962
-119.388064,49.91752899
-119.387867,49.91776639
-119.3876908,49.91801094
-119.3875233,49.91825792
-119.3873677,49.91850824
-119.3872121,49.91875855
-119.3870564,49.91900887
-119.3869008,49.91925919
-119.3867835,49.91951795
-119.3866826,49.91977953
-119.3865968,49.9200435
-119.386547,49.92031089
-119.3865117,49.92057965
-119.3865036,49.92084922
-119.3865008,49.92111894
-119.386498,49.92138866
-119.3864952,49.92165838
-119.3864925,49.92192811
-119.386491,49.92219783
-119.3864895,49.92246756
-119.386488,49.92273729
-119.3864866,49.92300701
-119.3864851,49.92327674
-119.3864836,49.92354646
-119.3864821,49.92381619
-119.3864806,49.92408592
-119.3864791,49.92435564
-119.3864784,49.92462537
-119.3864779,49.9248951
-119.3864775,49.92516483
-119.386477,49.92543455
-119.3864766,49.92570428
-119.3864761,49.92597401
-119.3864757,49.92624374
-119.3864752,49.92651346
-119.3864748,49.92678319
-119.3864743,49.92705292
-119.3864739,49.92732265
-119.3864734,49.92759237
-119.386473,49.9278621
-119.3864725,49.92813183
-119.3864721,49.92840156
-119.3864716,49.92867129
-119.3864712,49.92894101
-119.3864705,49.92921074
-119.3864694,49.92948047
-119.3864683,49.92975019
-119.3864686,49.93001988
-119.386503,49.93028869
-119.3865377,49.93055748
-119.3866412,49.93081879
-119.3867481,49.93107938
-119.3869114,49.93132767
-119.3871254,49.93155887
-119.387354,49.9317842
-119.3876306,49.93198639
-119.3879141,49.93218438
-119.3882082,49.93237598
-119.3885023,49.93256757
-119.3887965,49.93275916
-119.3890906,49.93295076
-119.3893668,49.93315185
-119.3896011,49.93337521
-119.3898353,49.93359857
-119.3900161,49.93384135
-119.3901554,49.93409461
-119.3902471,49.93435716
-119.3902906,49.93462542
-119.3902949,49.93489483
-119.3902894,49.93516453
-119.3903078,49.93543297
-119.3904087,49.93569363
-119.3906336,49.9359184
-119.3909306,49.93610499
-119.3913068,49.93622235
-119.3917101,49.93629213
-119.3920074,49.93644771
-119.3919711,49.93668012
-119.3917704,49.93691404
-119.3914686,49.93709858
-119.3911643,49.93728225
-119.3909211,49.93750018
-119.3907427,49.93774334
-119.3906239,49.93800195
-119.3905051,49.93826055
-119.3903864,49.93851915
-119.3902676,49.93877776
-119.3901488,49.93903636
-119.39003,49.93929497
-119.3899113,49.93955357
-119.3897925,49.93981218
-119.3897035,49.94007482
-119.3896983,49.94034223
-119.389792,49.94060392
-119.3899764,49.94084478
-119.3899261,49.94107118
-119.390207,49.9412251
-119.3904488,49.9410465
-119.390607,49.94082916
-119.3908249,49.94060066
-119.3910447,49.94037293
-119.3913625,49.94020048
-119.3917404,49.94008678
-119.3921513,49.94003957
-119.3925684,49.94004412
-119.3929768,49.9400975
-119.3933678,49.94019291
-119.3937587,49.94028832
-119.3941496,49.94038372
-119.394311,49.94014419
-119.3944646,49.93989335
-119.3946183,49.93964251
-119.3947719,49.93939167
-119.3948494,49.93926521
